epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9102.37,0.73459,0.65903,1.00073,0.97721,0.95161,0.97724,0.8238,0.63475,0.53755,0.87741,0.0011882,0.0011882,0.0011882
43,9319.51,0.73457,0.61857,0.99138,0.99682,0.96774,0.99286,0.83811,0.62978,0.50317,0.86792,0.0011684,0.0011684,0.0011684
44,9534.78,0.73441,0.64248,1.00509,0.96594,0.96774,0.9886,0.8253,0.65931,0.49923,0.88623,0.0011486,0.0011486,0.0011486
45,9749.17,0.7441,0.64687,1.02164,0.97957,0.90323,0.96792,0.7959,0.72232,0.59086,0.90331,0.0011288,0.0011288,0.0011288
46,9966.74,0.6537,0.59898,0.97161,0.96717,0.95038,0.96959,0.81795,0.6912,0.55557,0.90954,0.001109,0.001109,0.001109
47,10182.2,0.68398,0.61608,0.97222,0.98251,0.95161,0.97731,0.83344,0.67739,0.50629,0.89859,0.0010892,0.0010892,0.0010892
48,10398.8,0.70724,0.58991,0.99856,1,0.94748,0.98915,0.83967,0.6652,0.50473,0.89174,0.0010694,0.0010694,0.0010694
49,10616.4,0.67071,0.62454,0.96756,0.97607,0.98387,0.99248,0.84901,0.60821,0.44884,0.89297,0.0010496,0.0010496,0.0010496
50,10831.2,0.68306,0.59332,0.98337,0.9717,0.95161,0.98318,0.83097,0.64408,0.47547,0.89772,0.0010298,0.0010298,0.0010298
51,11047.4,0.65855,0.56975,0.96897,0.97952,0.91935,0.95889,0.83626,0.6026,0.51458,0.87426,0.00101,0.00101,0.00101
52,11269.7,0.63825,0.54339,0.95694,0.97837,0.8871,0.96548,0.84064,0.57619,0.49181,0.86397,0.0009902,0.0009902,0.0009902
53,11488.6,0.60888,0.53163,0.93504,0.97875,0.91935,0.97865,0.83735,0.60903,0.46494,0.86554,0.0009704,0.0009704,0.0009704
